Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/terms/%D0%9D%D0%B0%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%B3%D1%80%D0%B0%D1%84,2,0,59.457499999552965,60.44820003444329,59.457499999552965,61.43890006933361,309.0,0.033703379772873604,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/terms/%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D1%8C%20%D0%B1%D0%BB%D0%BE%D0%BA%D1%87%D0%B5%D0%B9%D0%BD%D0%B0,2,0,60,60.05660002119839,59.62020007427782,60.492999968118966,292.0,0.033703379772873604,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/api/terms/%D0%9F%D1%80%D0%BE%D0%BF%D1%83%D1%81%D0%BA%D0%BD%D0%B0%D1%8F%20%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1%D0%BD%D0%BE%D1%81%D1%82%D1%8C,1,0,60.35759998485446,60.35759998485446,60.35759998485446,60.35759998485446,275.0,0.016851689886436802,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/api/terms/%D0%A0%D0%B0%D0%B7%D0%BC%D0%B5%D1%80%20%D0%B1%D0%BB%D0%BE%D0%BA%D0%B0,2,0,57,57.53424996510148,56.58919992856681,58.47930000163615,221.0,0.033703379772873604,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/api/terms/%D0%A0%D0%B0%D1%81%D0%BF%D1%80%D0%B5%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0,2,0,59,64.1268499311991,58.97649994585663,69.27719991654158,326.0,0.033703379772873604,0.0,69,69,69,69,69,69,69,69,69,69,69
GET,/api/terms/%D0%A0%D0%B5%D0%B1%D1%80%D0%BE%20%D0%B3%D1%80%D0%B0%D1%84%D0%B0,2,0,58.16919996868819,59.572250000201166,58.16919996868819,60.97530003171414,240.0,0.033703379772873604,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/terms/%D0%A1%D0%B0%D0%B9%D0%B4%D1%87%D0%B5%D0%B9%D0%BD,2,0,58.08680003974587,64.17575001250952,58.08680003974587,70.26469998527318,269.0,0.033703379772873604,0.0,70,70,70,70,70,70,70,70,70,70,70
GET,/api/terms/%D0%A1%D0%B5%D0%BC%D0%B0%D0%BD%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D1%80%D0%B0%D1%84,1,0,56.7540000192821,56.7540000192821,56.7540000192821,56.7540000192821,291.0,0.016851689886436802,0.0,57,57,57,57,57,57,57,57,57,57,57
GET,/api/terms/%D0%A1%D0%BC%D0%B0%D1%80%D1%82-%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%B0%D0%BA%D1%82,1,0,291.39699996449053,291.39699996449053,291.39699996449053,291.39699996449053,329.0,0.016851689886436802,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/api/terms/%D0%A1%D1%82%D0%B0%D1%82%D0%B8%D1%81%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7,1,0,61.4571999758482,61.4571999758482,61.4571999758482,61.4571999758482,282.0,0.016851689886436802,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/terms/%D0%A2%D1%80%D0%B8%D0%BB%D0%B5%D0%BC%D0%BC%D0%B0%20%D0%B1%D0%BB%D0%BE%D0%BA%D1%87%D0%B5%D0%B9%D0%BD%D0%B0,3,0,62,63.58723334657649,61.06420001015067,67.92719999793917,332.0,0.050555069659310406,0.0,62,62,68,68,68,68,68,68,68,68,68
GET,/api/terms/%D0%A3%D0%B7%D0%B5%D0%BB%20%D0%B3%D1%80%D0%B0%D1%84%D0%B0,2,0,56,56.61090003559366,55.95110007561743,57.270699995569885,248.0,0.033703379772873604,0.0,57,57,57,57,57,57,57,57,57,57,57
