Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/terms/%D0%9C%D0%B0%D1%81%D1%88%D1%82%D0%B0%D0%B1%D0%B8%D1%80%D1%83%D0%B5%D0%BC%D0%BE%D1%81%D1%82%D1%8C,1,0,62.55809997674078,62.55809997674078,62.55809997674078,62.55809997674078,347.0,0.016743718850941183,0.0,63,63,63,63,63,63,63,63,63,63,63
GET,/api/terms/%D0%9C%D0%B5%D1%82%D0%BE%D0%B4%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F%20%D1%81%D1%80%D0%B0%D0%B2%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0,1,0,59.935899917036295,59.935899917036295,59.935899917036295,59.935899917036295,316.0,0.016743718850941183,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/api/terms/%D0%9D%D0%B0%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%B3%D1%80%D0%B0%D1%84,4,0,59,60.68410002626479,58.59340005554259,66.20290002319962,309.0,0.06697487540376473,0.0,59,59,66,66,66,66,66,66,66,66,66
GET,/api/terms/%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D1%8C%20%D0%B1%D0%BB%D0%BE%D0%BA%D1%87%D0%B5%D0%B9%D0%BD%D0%B0,1,0,62.22860002890229,62.22860002890229,62.22860002890229,62.22860002890229,292.0,0.016743718850941183,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/api/terms/%D0%9F%D1%80%D0%BE%D0%BF%D1%83%D1%81%D0%BA%D0%BD%D0%B0%D1%8F%20%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1%D0%BD%D0%BE%D1%81%D1%82%D1%8C,2,0,59,60.795299999881536,58.80020000040531,62.79039999935776,275.0,0.03348743770188237,0.0,63,63,63,63,63,63,63,63,63,63,63
GET,/api/terms/%D0%A0%D0%B0%D0%B7%D0%BC%D0%B5%D1%80%20%D0%B1%D0%BB%D0%BE%D0%BA%D0%B0,3,0,60,63.31663330396017,58.09230008162558,71.50939991697669,221.0,0.05023115655282355,0.0,60,60,72,72,72,72,72,72,72,72,72
GET,/api/terms/%D0%A0%D0%B5%D0%B1%D1%80%D0%BE%20%D0%B3%D1%80%D0%B0%D1%84%D0%B0,3,0,64,65.0183333394428,62.121300026774406,68.58389999251813,240.0,0.05023115655282355,0.0,64,64,69,69,69,69,69,69,69,69,69
GET,/api/terms/%D0%A1%D0%B0%D0%B9%D0%B4%D1%87%D0%B5%D0%B9%D0%BD,3,0,58,57.610100018791854,56.33339995983988,58.579200063832104,269.0,0.05023115655282355,0.0,58,58,59,59,59,59,59,59,59,59,59
GET,/api/terms/%D0%A1%D0%B5%D0%BC%D0%B0%D0%BD%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D1%80%D0%B0%D1%84,3,0,58,58.08883331095179,57.55919998046011,58.38249996304512,291.0,0.05023115655282355,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/api/terms/%D0%A1%D0%BC%D0%B0%D1%80%D1%82-%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%B0%D0%BA%D1%82,3,0,58,58.39993335151424,57.67270002979785,59.798200032673776,329.0,0.05023115655282355,0.0,58,58,60,60,60,60,60,60,60,60,60
GET,/api/terms/%D0%A1%D1%82%D0%B0%D1%82%D0%B8%D1%81%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7,3,0,58,58.66260000038892,57.468999992124736,60.48179999925196,282.0,0.05023115655282355,0.0,58,58,60,60,60,60,60,60,60,60,60
GET,/api/terms/%D0%A2%D1%80%D0%B0%D0%BD%D0%B7%D0%B0%D0%BA%D1%86%D0%B8%D1%8F,3,0,60,154.41669997138283,59.75449993275106,343.44829991459846,300.0,0.05023115655282355,0.0,60,60,340,340,340,340,340,340,340,340,340
GET,/api/terms/%D0%A2%D1%80%D0%B8%D0%BB%D0%B5%D0%BC%D0%BC%D0%B0%20%D0%B1%D0%BB%D0%BE%D0%BA%D1%87%D0%B5%D0%B9%D0%BD%D0%B0,2,0,58,58.84695000713691,57.75170004926622,59.9421999650076,332.0,0.03348743770188237,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/api/terms/%D0%A3%D0%B7%D0%B5%D0%BB%20%D0%B3%D1%80%D0%B0%D1%84%D0%B0,3,0,62,66.88959993577252,61.94179994054139,76.66679995600134,248.0,0.05023115655282355,0.0,62,62,77,77,77,77,77,77,77,77,77
GET,/api/terms/%D0%A3%D0%B7%D0%B5%D0%BB%20%D1%81%D0%B5%D1%82%D0%B8,1,0,58.28370002564043,58.28370002564043,58.28370002564043,58.28370002564043,270.0,0.016743718850941183,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/api/terms/%D0%A3%D1%82%D0%B8%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F%20%D1%81%D0%B5%D1%82%D0%B8,3,0,61,61.729766661301255,58.65489994175732,65.56450005155057,281.0,0.05023115655282355,0.0,61,61,66,66,66,66,66,66,66,66,66
GET,/api/terms/%D0%A6%D0%B5%D0%BD%D0%B0%20%D0%B3%D0%B0%D0%B7%D0%B0,2,0,59.09509991761297,59.255999978631735,59.09509991761297,59.4169000396505,263.0,0.03348743770188237,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/terms/%D0%A8%D0%B0%D1%80%D0%B4%D0%B8%D0%BD%D0%B3,2,0,58.21930000092834,63.491900044027716,58.21930000092834,68.76450008712709,307.0,0.03348743770188237,0.0,69,69,69,69,69,69,69,69,69,69,69
GET,/api/terms/API%20%D0%B1%D0%BB%D0%BE%D0%BA%D1%87%D0%B5%D0%B9%D0%BD-%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D0%BE%D1%80%D0%B5%D1%80%D0%B0,2,0,59,66.49664998985827,58.589400025084615,74.40389995463192,298.0,0.03348743770188237,0.0,74,74,74,74,74,74,74,74,74,74,74
GET,/api/terms/BNB%20Chain,1,0,57.93639994226396,57.93639994226396,57.93639994226396,57.93639994226396,276.0,0.016743718850941183,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/api/terms/Base%20Fee,1,0,60.120000038295984,60.120000038295984,60.120000038295984,60.120000038295984,271.0,0.016743718850941183,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/api/terms/Blob-%D1%82%D1%80%D0%B0%D0%BD%D0%B7%D0%B0%D0%BA%D1%86%D0%B8%D0%B8,2,0,59,59.71554992720485,58.63559991121292,60.79549994319677,294.0,0.03348743770188237,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/terms/Blockchain%20Explorer,2,0,64,65.38139999611303,63.93730000127107,66.825499990955,260.0,0.03348743770188237,0.0,67,67,67,67,67,67,67,67,67,67,67
